departamento,provincia,municipio,localidad,recinto,mesa,inscritos_2019,inscritos_2020,cc_2019,fpv_2019,mts_2019,ucs_2019,mas_2019,x21f_2019,pdc_2019,mnr_2019,pan_2019,creemos_2020,mas_2020,fpv_2020,pan_2020,cc_2020
Chuquisaca,Oropeza,Sucre,Chaunaca,Escuela Seccional De Chaunaca,10002,219,220,12,2,4,2,135,3,11,1,1,0,175,1,9,8
Chuquisaca,Oropeza,Sucre,Chuqui Chuqui,Unidad Educativa Chuqui Chuqui,10004,221,220,30,1,1,2,118,3,11,2,0,1,135,4,4,40
Chuquisaca,Oropeza,Sucre,Chuqui Chuqui,Unidad Educativa Chuqui Chuqui,10005,213,220,29,2,1,1,118,6,15,0,0,4,141,1,0,32
Chuquisaca,Oropeza,Sucre,Chuqui Chuqui,Unidad Educativa Chuqui Chuqui,10006,127,112,15,1,2,0,74,5,8,0,1,0,73,4,1,19
Chuquisaca,Oropeza,Sucre,Surima,Escuela Fray Gabriel Maria Landini,10007,215,220,28,1,3,1,92,3,14,1,5,2,138,6,1,23
Chuquisaca,Oropeza,Sucre,Surima,Escuela Fray Gabriel Maria Landini,10008,219,220,11,3,1,3,123,3,9,0,5,1,141,5,2,21
Chuquisaca,Oropeza,Sucre,Surima,Escuela Fray Gabriel Maria Landini,10009,209,220,19,2,3,0,113,0,12,3,3,2,137,2,1,31
Chuquisaca,Oropeza,Sucre,Imilla Huañusca,Escuela Fray Gabriel Mariscal,10011,218,220,14,1,5,1,112,3,8,1,9,0,165,1,0,9
Chuquisaca,Oropeza,Sucre,Punilla,Escuela Punilla,10013,216,220,35,1,4,0,86,11,21,2,5,1,107,8,2,46
Chuquisaca,Oropeza,Sucre,Mojotoro,Unidad Educativa La Palma,10015,210,220,32,0,1,1,111,6,13,1,0,3,142,2,1,29
Chuquisaca,Oropeza,Sucre,Mojotoro,Unidad Educativa La Palma,10016,214,220,33,3,0,1,101,3,16,1,3,3,138,5,2,32
Chuquisaca,Oropeza,Sucre,Mojotoro,Unidad Educativa La Palma,10017,217,220,25,1,3,3,105,2,19,0,2,1,136,9,2,28
Chuquisaca,Oropeza,Sucre,Ckacha Ckacha,Escuela José Sampa,10019,219,220,36,2,1,2,76,8,34,2,4,3,98,13,6,48
